lastname,name,codeOrgane,labelOrgane
BRICOUT,Jean-Louis,02,Aisne (02)
DOOR,Jean-Pierre,45,Loiret (45)
POTIERS,Dominique,54,Meurte-et-Moselle (54)
CAZENEUVE,Jean-René,32,Gers (32)
TAQUET,Adrien,92,Hauts-de-Seine (92)
ABAD,Damien,01,Ain (01)
SON-FORGET,Joachim,99,Français établis hors de France (99)
BRULEBOIS,Danielle,39,Jura (39)
BRICOUT,Guy,59,Nord (59)
PETIT,Valérie,59,Nord (59)
VIRY,Stéphane,88,Vosges (88)
PUEYO,Joaquim,61,Orne (61)
WULFRANC,Hubert,76,Seine-maritime (76)
CHRISTOPHE,Paul,59,Nord (59)
BILDE,Bruno,62,Pas-de-Calais (62)
DELATTE,RÃ©MI,21,Côte-d'Or
HABIB,Meyer,99,Français établis hors de France (99)
PUPPONI,François,95,Val-d'Oise (95)
SOMMER,Denis,25,Doubs (25)
DUBIE,Jeanine,65,Haute-Pyrénées 
LUQUET,Aude,77,Seine-et-Marne
ANGLADE,Pieyre-Alexandre,99,Français établis hors de France (99)
BATTISTEL,Marie-Noëlle,38,Isère (38)
BENIN,Justine,971,Guadeloupe (971)
Guévenoux,Marie,91,Essone (91)
STUDER,Bruno,67,Bas-Rhin (67)
GAYTE,Laurence,75,Paris (75)
PERRUT,Bernard,69,Rhône (69)
Poletti,Bérangère,08,Ardennes (08)
Marleix,Olivier,28,Eur-et-Loir (28)
CUBERTAFON,Jean-Pierre,24,Dordogne (24)
MIRAILLES,Patricia,34,Hérault (34)
O,Delphine,75,Paris (75)
LENNE,Marion,74,Haute-Savoie (74)
LACROUTE,Valérie,77,Seine-et-marne
Alauzet,Eric,25,Doubs (25)
PHANONACLE,Sophie,33,Gironde (33)
FAURE,Olivier,77,Seine-et-Marne (77)
PIRES BEAUNE,Christine,63,Puy-de-Dôme (63)
